quotes,authors,categories
"Respect is what we owe; love, what we give.",Philip James Bailey,Respect
"A person's a person, no matter how small.",Dr. Seuss,Respect
"Respect for ourselves guides our morals, respect for others guides our manners.",Laurence Sterne,Respect
"To the living we owe respect, but to the dead we owe only the truth.",Voltaire,Respect
"When you are content to be simply yourself and don't compare or compete, everybody will respect you.",Lao Tzu,Respect
One of the most sincere forms of respect is actually listening to what another has to say.,Bryant H. McGill,Respect
I'm not concerned with your liking or disliking me... All I ask is that you respect me as a human being.,Jackie Robinson,Respect
"We don't need to share the same opinions as others, but we need to be respectful.",Taylor Swift,Respect
"Respect your efforts, respect yourself. Self-respect leads to self-discipline. When you have both firmly under your belt, that's real power.",Clint Eastwood,Respect
Self-respect is the fruit of discipline; the sense of dignity grows with the ability to say no to oneself.,Abraham Joshua Heschel,Respect
"Show respect to all people, but grovel to none.",Tecumseh,Respect
"Everyone should be respected as an individual, but no one idolized.",Albert Einstein,Respect
Nothing is more despicable than respect based on fear.,Albert Camus,Respect
"This world of ours... must avoid becoming a community of dreadful fear and hate, and be, instead, a proud confederation of mutual trust and respect.",Dwight D. Eisenhower,Respect
There is no respect for others without humility in one's self.,Henri Frederic Amiel,Respect
"I firmly believe that respect is a lot more important, and a lot greater, than popularity.",Julius Erving,Respect
When people do not respect us we are sharply offended; yet in his private heart no man much respects himself.,Mark Twain,Respect
"I think a lot of people have lost respect for the individual, you know, the individual, the person who doesn't conform.",Erykah Badu,Respect
It's not that the Irish are cynical. It's rather that they have a wonderful lack of respect for everything and everybody.,Brendan Behan,Respect
"To be one, to be united is a great thing. But to respect the right to be different is maybe even greater.",Bono,Respect
"Everyone in society should be a role model, not only for their own self-respect, but for respect from others.",Barry Bonds,Respect
Being brilliant is no great feat if you respect nothing.,Johann Wolfgang von Goethe,Respect
The final test of a gentleman is his respect for those who can be of no possible service to him.,William Lyon Phelps,Respect
"We should all consider each other as human beings, and we should respect each other.",Malala Yousafzai,Respect
Respect yourself if you would have others respect you.,Baltasar Gracian,Respect
"To free us from the expectations of others, to give us back to ourselves - there lies the great, singular power of self-respect.",Joan Didion,Respect
"Be modest, be respectful of others, try to understand.",Lakhdar Brahimi,Respect
"If once you forfeit the confidence of your fellow-citizens, you can never regain their respect and esteem.",Abraham Lincoln,Respect
I have always believed that I should have had no difficulty in causing my rights to be respected.,Eli Whitney,Respect
I never make the mistake of arguing with people for whose opinions I have no respect.,Edward Gibbon,Respect
"I'm not everybody's cup of tea. But sometimes criticism can be hurtful. Be respectful. I'm a good piano player, I can sing well, I write good songs. If you don't like it, fair enough. But give me a break.",Elton John,Respect
"That you may retain your self-respect, it is better to displease the people by doing what you know is right, than to temporarily please them by doing what you know is wrong.",William J. H. Boetcker,Respect
Perhaps the surest test of an individual's integrity is his refusal to do or say anything that would damage his self-respect.,Thomas S. Monson,Respect
"I have no right, by anything I do or say, to demean a human being in his own eyes. What matters is not what I think of him; it is what he thinks of himself. To undermine a man's self-respect is a sin.",Antoine de Saint-Exupery,Respect
"I have a respect for manners as such, they are a way of dealing with people you don't agree with or like.",Margaret Mead,Respect
"I owe my success to having listened respectfully to the very best advice, and then going away and doing the exact opposite.",Gilbert K. Chesterton,Respect
It is so important to get respect for what you do and at the same time give it.,Estelle Parsons,Respect
"There exist only three beings worthy of respect: the priest, the soldier, the poet. To know, to kill, to create.",Charles Baudelaire,Respect
I think I'm a natural-born leader. I know how to bow down to authority if it's authority that I respect.,Tupac Shakur,Respect
I'm sick of just liking people. I wish to God I could meet somebody I could respect.,J. D. Salinger,Respect
Never dress down for the poor. They won't respect you for it. They want their First Lady to look like a million dollars.,Imelda Marcos,Respect
"As the mother of two daughters, I have great respect for women. And I don't ever want to lose that.",Vera Wang,Respect
"In order to acquire a growing and lasting respect in society, it is a good thing, if you possess great talent, to give, early in your youth, a very hard kick to the right shin of the society that you love. After that, be a snob.",Salvador Dali,Respect
